name,mean_abs_dB0,max_abs_dB0,mean_rel_dB0,dB0_r2,dB0_pears,dB0_std,mean_abs_B1,max_abs_B1,mean_rel_B1,B1_r2,B1_pears,B1_std,mean_abs_T1,max_abs_T1,mean_rel_T1,T1_r2,T1_pears,T1_std,mean_abs_T2,max_abs_T2,mean_rel_T2,T2_r2,T2_pears,T2_std,loss mean,loss std
batchsize2_sweep12_30epochs,0.004435946233570576,1.751571536064148,26.661365509033203,0.9972400200069745,0.9986197529520942,0.024740174412727356,0.009050522930920124,2.7199175357818604,0.32389211654663086,0.9998039969951334,0.999902077938386,0.022466243826784194,31.950902938842773,2811.09375,1.782333493232727,0.9975459967443521,0.9987822018521714,62.63348460197449,0.0,0.0,0.0,0.0,0.0,0.0,-14.166409492492676,nan
batchsize3_sweep12_30epochs,0.004337448626756668,1.7129933834075928,26.395740509033203,0.9981492619499236,0.9990767832493832,0.020120058208703995,0.00940782856196165,5.666445732116699,0.33559650182724,0.9997397612760011,0.9998707633533728,0.02627540146932006,30.68424415588379,3000.04443359375,1.7055879831314087,0.9976182808342701,0.9988120895090175,62.102075666189194,0.0,0.0,0.0,0.0,0.0,0.0,-14.11371898651123,nan
batchsize4_sweep12_30epochs,0.0040063271299004555,1.7167664766311646,22.836132049560547,0.9985700210734568,0.9992849632167633,0.017642807215452194,0.008718283846974373,3.388406991958618,0.31105199456214905,0.9998185379288393,0.9999093961063255,0.021612822893075645,30.423095703125,3025.831787109375,1.704350471496582,0.997552776223781,0.9987762739533937,63.281841576099396,0.0,0.0,0.0,0.0,0.0,0.0,-14.305886268615723,nan
batchsize5_sweep12_30epochs,0.004057340323925018,1.8279693126678467,24.787559509277344,0.9981418979842575,0.999071549442967,0.020220134407281876,0.008689790032804012,2.2395079135894775,0.3141630291938782,0.9998427172642541,0.999921562775567,0.019880655454471707,30.23931884765625,3893.937255859375,1.682891845703125,0.9975726624645267,0.9987860408329932,63.05296719074249,0.0,0.0,0.0,0.0,0.0,0.0,-14.366024017333984,nan
dropout01_sweep12_30epochs,0.009897804819047451,1.80194091796875,47.05271911621094,0.9920723939672033,0.996033475859733,0.04143243283033371,0.02850036695599556,4.24363374710083,1.1167263984680176,0.9928060902718712,0.9964064604605243,0.14394224155694246,50.03142547607422,4340.02587890625,3.7129592895507812,0.9868177157219234,0.993398069454941,155.09280562400818,1024.0240478515625,4677.5107421875,290.26226806640625,0.07220606367943272,0.26903966326258555,709.4809412956238,-12.384366989135742,nan
dropout03_sweep12_30epochs,0.019274257123470306,1.6409201622009277,107.36791229248047,0.976488199816246,0.9882192897381913,0.07078351825475693,0.06196468695998192,3.5635201930999756,2.4868626594543457,0.974402101186474,0.9872364197940147,0.26976996101439,72.7649917602539,5108.1806640625,5.141419410705566,0.967463158246215,0.9836286851749644,245.46632170677185,1052.407958984375,4717.74072265625,329.850830078125,0.04242131864946985,0.2063683438365962,703.0285000801086,-11.155587196350098,nan
dropout05_sweep12_30epochs,0.02591155841946602,1.7674598693847656,153.82420349121094,0.9691933850045915,0.9845152541008257,0.07987591624259949,0.09082989394664764,3.289348602294922,3.50980806350708,0.9609858030207693,0.9804031006414394,0.32942505553364754,70.64331817626953,4203.6787109375,4.19320821762085,0.9906025347048253,0.9953042819094632,118.07442456483841,1056.3385009765625,4727.97998046875,339.6643981933594,0.03260030681990267,0.18114192293684128,708.7938785552979,-10.264704704284668,nan
dropout10_sweep12_30epochs,0.024225017055869102,1.7157821655273438,128.7935791015625,0.992897125686985,0.9964631420818394,0.03223321959376335,0.11000311374664307,3.343914031982422,3.1218597888946533,0.9704267231207933,0.9854435121347395,0.27642938308417797,96.65148162841797,4152.69873046875,5.644811153411865,0.982092933061095,0.9914911171335126,163.50506246089935,1077.2857666015625,4556.36572265625,375.4326477050781,0.013282837550160242,0.11560793273059984,700.0062465667725,-8.877490997314453,nan
dropout15_sweep12_30epochs,0.03003939427435398,1.8167591094970703,137.99168395996094,0.9898335034360488,0.9949733646849285,0.03774550184607506,0.08714237064123154,3.20892596244812,2.8091773986816406,0.9949829533024327,0.9974907521492947,0.08615330792963505,123.35798645019531,4815.9619140625,7.2998762130737305,0.9704181249272004,0.9862585238866998,210.66130697727203,1083.4329833984375,4130.06298828125,390.9696044921875,0.0034786246072729954,0.060715910894070454,702.2297978401184,-8.110196113586426,nan
dropout10_sweep12_50epochs,0.023408571258187294,1.6541510820388794,139.26646423339844,0.9928978911203913,0.9964697959097631,0.032828278839588165,0.11504631489515305,3.837376117706299,3.212193489074707,0.9643276948283979,0.9822285821800288,0.30583142302930355,96.14519500732422,3937.54052734375,5.7350897789001465,0.9823876513869678,0.9912125661504024,161.9807928800583,0.0,0.0,0.0,0.0,0.0,0.0,-9.034109115600586,nan
dropout_larger_sweep12_30epochs,0.022230464965105057,1.8438665866851807,144.31683349609375,0.9940731401334598,0.997048085752901,0.029367521405220032,0.10412944853305817,3.495232582092285,2.8810997009277344,0.9727855666789993,0.9865879433921199,0.2657270058989525,94.07006072998047,3586.317138671875,5.559121608734131,0.9838503558607135,0.9919791088290849,153.90175580978394,1077.537353515625,4350.56640625,373.13031005859375,0.011482431629242229,0.10740957833735983,701.768159866333,-8.980987548828125,nan
SGD_sweep12_50epochs,0.024317454546689987,1.82470703125,34.964324951171875,0.9330562558969174,0.9659807983876,0.12137524038553238,0.057537004351615906,4.57975435256958,1.540750503540039,0.9796723415272524,0.9899094149688971,0.23985606618225574,45.34166717529297,3331.361328125,3.64449405670166,0.9944276646400954,0.9972103220765398,95.76070308685303,0.0,0.0,0.0,0.0,0.0,0.0,-11.560404777526855,nan
